open	high	low	fluctuation range	close	day range	adj_close
408	422.399994	406.25	16.149994	420.700012	12.700012	388.798859
421	425	395	30	402.899994	18.100006	373.68103
380	431.799988	380	51.799988	428.149994	48.149994	397.099762
360	433.799988	360	73.799988	430.799988	70.799988	399.557648
429	430	414.25	15.75	418.950012	10.049988	388.567017
419	425.450012	415	10.450012	418.100006	0.899994	387.778687
418.799988	422.850006	414.100006	8.75	418.850006	0.050018	388.474304
425	428.5	419.049988	9.450012	425	0	394.178253
425.399994	433.799988	422.549988	11.25	425.950012	0.550018	395.059387
422	426	417.149994	8.850006	420	2	389.540894
421.299988	435	420.049988	14.950012	426.899994	5.600006	395.940491
432	436.899994	418.100006	18.799988	421.899994	10.100006	391.30307
422.100006	428.200012	418	10.200012	425.450012	3.350006	394.595673
425	440	423	17	431.450012	6.450012	400.160461
434.899994	438.200012	427.149994	11.050018	429.299988	5.600006	398.166412
429	432	417.299988	14.700012	419.600006	9.399994	389.169922
422	422.5	414.5	8	417.399994	4.600006	387.129456
420	428.799988	418.5	10.299988	424.5	4.5	393.714539
426.100006	431.799988	421.25	10.549988	423.200012	2.899994	392.50882
424	428.350006	418	10.350006	420.850006	3.149994	390.329254
423.200012	423.700012	410.549988	13.150024	412.200012	11	382.306549
415	416.399994	409.75	6.649994	414.049988	0.950012	384.022369
414	421.799988	398.200012	23.599976	399.549988	14.450012	370.573975
400	405.950012	394.25	11.700012	403.049988	3.049988	373.82016
405.5	416.399994	405.5	10.899994	413.950012	8.450012	383.929626
414	414.899994	400.299988	14.600006	401.75	12.25	372.614441
401.799988	403.799988	390.649994	13.149994	393.950012	7.849976	365.380066
397.700012	397.700012	385	12.700012	387.149994	10.550018	359.073212
390.100006	390.100006	380.600006	9.5	386.600006	3.5	358.56308
390.25	394.649994	382.700012	11.949982	386.850006	3.399994	358.795013
386.100006	387.850006	376.649994	11.200012	377.950012	8.149994	350.540466
380	386.799988	378.799988	8	385.25	5.25	357.311035
385	385.25	369.549988	15.700012	371.850006	13.149994	344.882782
373.700012	379.399994	358	21.399994	360.950012	12.75	334.773315
363.100006	371.799988	361.25	10.549988	362.799988	0.300018	336.489075
363	366.950012	356.299988	10.650024	360.200012	2.799988	334.077698
363.25	366.799988	358.200012	8.599976	361.850006	1.399994	335.608032
363	365.899994	354.649994	11.25	360.950012	2.049988	334.773315
368	383	365.299988	17.700012	381.549988	13.549988	353.879333
382.149994	384.899994	375.200012	9.699982	381.75	0.399994	354.064819
383	389.799988	382.5	7.299988	388.600006	5.600006	360.418091
388	394.350006	385.399994	8.950012	388.600006	0.600006	360.418091
390	390.75	384	6.75	389.100006	0.899994	360.881805
390.5	401.399994	390.5	10.899994	397.5	7	368.672607
395	397	391.600006	5.399994	393.450012	1.549988	364.916321
393.450012	395.799988	389.149994	6.649994	392.100006	1.350006	363.664215
394.899994	395.399994	384.649994	10.75	385.5	9.399994	357.542908
386	393.5	381.799988	11.700012	392.600006	6.600006	364.127991
394	396	376.600006	19.399994	378.799988	15.200012	351.328735
378.049988	380	353.100006	26.899994	354.799988	23.25	329.069244
357	360.899994	348.049988	12.850006	354.549988	2.450012	328.837402
355	360.350006	353.25	7.100006	354.950012	0.049988	329.208466
356	360.899994	356	4.899994	358.100006	2.100006	332.130005
364	364.299988	349	15.299988	351	13	325.544922
352.299988	360.5	352	8.5	359.549988	7.25	333.474823
361	373.299988	352	21.299988	369.600006	8.600006	342.795929
370.049988	375.899994	361.100006	14.799988	363.149994	6.899994	336.813751
364.5	371.5	363.5	8	368.799988	4.299988	342.053955
372	372	365.200012	6.799988	367.549988	4.450012	340.894623
366.899994	368.399994	356.25	12.149994	357.649994	9.25	331.712585
356.899994	359.149994	352.649994	6.5	356.299988	0.600006	330.46048
359	363.350006	353.149994	10.200012	354.25	4.75	328.559113
360.950012	360.950012	353.5	7.450012	356.700012	4.25	330.831543
361	377.299988	361	16.299988	375.149994	14.149994	347.943451
375	380	372.200012	7.799988	377.75	2.75	350.355011
377.299988	381.950012	367.200012	14.75	368.75	8.549988	342.007599
